originalPath,preparedPath,newFileName,layoutType,style,color,material,visibleFeatures,confidence,needs_review,reason,alt
E:\фото кухни 3\IMG_20220924_212953.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,penal|vstroennaya-tehnika,medium,true,"Кухня видна хорошо, но стиль и готовность проекта требуют ручной проверки.",Угловая белая кухня в современном стиле
E:\фото кухни 3\IMG_20221107_230427.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp,uglovaya-kuhnya-neoklassika-belaya-002-main.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,"Одна угловая белая кухня с филёнчатыми фасадами, два ракурса.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20221107_230437.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-side-004.webp,uglovaya-kuhnya-neoklassika-belaya-002-side-004.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,vstroennaya-tehnika|derevyannaya-stoleshnica,high,false,"Одна угловая белая кухня с филёнчатыми фасадами, два ракурса.",Угловая белая кухня в стиле неоклассика
E:\фото кухни 3\IMG_20221111_191433.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-side-005.webp,pryamaya-kuhnya-minimalizm-kombinacii-003-side-005.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,matovye-fasady|bez-ruchek|vstroennaya-tehnika|podsvetka|penal,medium,true,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу.",Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221111_191435.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp,pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,matovye-fasady|bez-ruchek|vstroennaya-tehnika|podsvetka|penal,medium,true,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу.",Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221111_191447.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-02-007.webp,pryamaya-kuhnya-minimalizm-kombinacii-003-extra-02-007.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,matovye-fasady|bez-ruchek|vstroennaya-tehnika|podsvetka|penal,medium,true,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу.",Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221111_191458.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-03-008.webp,pryamaya-kuhnya-minimalizm-kombinacii-003-extra-03-008.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,matovye-fasady|bez-ruchek|vstroennaya-tehnika|podsvetka|penal,medium,true,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу.",Прямая комбинированная кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221115_001435.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-004-main.webp,pryamaya-kuhnya-minimalizm-belaya-004-main.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,matovye-fasady|bez-ruchek,medium,true,"Один вертикальный кадр, кухня видна не полностью.",Прямая белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221130_185228.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp,kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|vstroennaya-tehnika|penal,medium,true,"Видна островная/полуостровная зона; нужна проверка, является ли это островом.",Кухня с островом белая кухня в стиле минимализм без ручек
E:\фото кухни 3\IMG_20221130_185329.jpg,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-side-011.webp,kuhnya-s-ostrovom-minimalizm-belaya-005-side-011.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,bez-ruchek|ostrov|vstroennaya-tehnika|penal,medium,true,"Видна островная/полуостровная зона; нужна проверка, является ли это островом.",Кухня с островом белая кухня в стиле минимализм без ручек
