projectGroupId,suggestedSlug,suggestedTitle,mainImage,images,layoutType,style,color,material,city,priceFrom,days,description,task,solution,result,confidence,needs_review
portfolio-uglovaya-kuhnya-neoklassika-002,uglovaya-kuhnya-neoklassika-002,Угловая кухня белая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-side-004.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,,,,,,,,high,false
portfolio-kuhnya-s-ostrovom-sovremennaya-009,kuhnya-s-ostrovom-sovremennaya-009,Кухня с островом комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-00-021.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-02-023.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-03-024.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,,,,,,,,high,false
portfolio-kuhnya-s-ostrovom-minimalizm-011,kuhnya-s-ostrovom-minimalizm-011,Кухня с островом белая в стиле минимизм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-00-027.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-side-028.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-03-030.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-04-031.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-skandinavskaya-012,uglovaya-kuhnya-skandinavskaya-012,Угловая кухня зелёная в скандинавском стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-extra-00-032.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-side-033.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-detail-034.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-skandinavskaya-zelenaya-012-main.webp,uglovaya-kuhnya,skandinavskaya,zelenaya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-neoklassika-014,uglovaya-kuhnya-neoklassika-014,Угловая кухня бежевая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-bezhevaya-014-side-038.webp,uglovaya-kuhnya,neoklassika,bezhevaya,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-minimalizm-016,pryamaya-kuhnya-minimalizm-016,Прямая кухня комбинированная в стиле минимизм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-00-042.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-side-043.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-02-044.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-extra-03-045.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\pryamaya-kuhnya-minimalizm-kombinacii-016-main.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-minimalizm-017,uglovaya-kuhnya-minimalizm-017,Угловая кухня серая в стиле минимизм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-017-side-048.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-minimalizm-018,uglovaya-kuhnya-minimalizm-018,Угловая кухня серая в стиле минимизм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-side-052.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-minimalizm-seraya-018-main.webp,uglovaya-kuhnya,minimalizm,seraya,unknown,,,,,,,,high,false
portfolio-uglovaya-kuhnya-sovremennaya-024,uglovaya-kuhnya-sovremennaya-024,Угловая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-sovremennaya-kombinacii-024-side-064.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,high,false
portfolio-kuhnya-s-ostrovom-minimalizm-025,kuhnya-s-ostrovom-minimalizm-025,Кухня с островом серая в стиле минимизм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-side-065.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-seraya-025-main.webp,kuhnya-s-ostrovom,minimalizm,seraya,unknown,,,,,,,,high,false
