projectGroupId,mainImage,images,layoutType,style,color,material,confidence,needs_review,reason
portfolio-uglovaya-kuhnya-sovremennaya-001,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,medium,true,"Кухня видна хорошо, но стиль и готовность проекта требуют ручной проверки."
portfolio-uglovaya-kuhnya-neoklassika-002,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-side-004.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,high,false,"Одна угловая белая кухня с филёнчатыми фасадами, два ракурса."
portfolio-pryamaya-kuhnya-minimalizm-003,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-side-005.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-02-007.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-03-008.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,medium,true,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу."
portfolio-pryamaya-kuhnya-minimalizm-004,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-004-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-004-main.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,medium,true,"Один вертикальный кадр, кухня видна не полностью."
portfolio-kuhnya-s-ostrovom-minimalizm-005,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-side-011.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-02-012.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-03-013.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,medium,true,"Видна островная/полуостровная зона; нужна проверка, является ли это островом."
portfolio-pryamaya-kuhnya-minimalizm-006,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-side-014.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-016.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-017.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-extra-04-018.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,medium,true,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
portfolio-uglovaya-kuhnya-sovremennaya-007,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,low,true,"Кухня частично видна, один кадр."
portfolio-pryamaya-kuhnya-sovremennaya-008,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,medium,true,Один кадр небольшой прямой кухни.
portfolio-kuhnya-s-ostrovom-sovremennaya-009,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-00-021.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-02-023.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-03-024.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,high,false,Одна кухня с островной/барной зоной и несколькими ракурсами.
portfolio-pryamaya-kuhnya-minimalizm-010,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-side-026.webp,pryamaya-kuhnya,minimalizm,zelenaya,unknown,medium,true,"Кухня в процессе монтажа, требуется подтверждение финального вида."
